Fecha;Datos_MP
01-09-2013;105
02-09-2013;99
03-09-2013;81
04-09-2013;113
05-09-2013;104
06-09-2013;119
07-09-2013;73
08-09-2013;72
09-09-2013;126
10-09-2013;77
11-09-2013;103
12-09-2013;118.75
13-09-2013;179
14-09-2013;200
15-09-2013;203
16-09-2013;109
17-09-2013;55
18-09-2013;53
19-09-2013;35
20-09-2013;50
21-09-2013;67
22-09-2013;93.5
23-09-2013;85
24-09-2013;149
25-09-2013;74
26-09-2013;95
27-09-2013;140.5
28-09-2013;94
29-09-2013;75
30-09-2013;89
01-10-2013;55
02-10-2013;58
03-10-2013;60
04-10-2013;34
05-10-2013;36
06-10-2013;38
07-10-2013;58
08-10-2013;59
09-10-2013;30
10-10-2013;68
11-10-2013;57
12-10-2013;32
13-10-2013;23
14-10-2013;37
15-10-2013;29
16-10-2013;28
17-10-2013;18
18-10-2013;26
19-10-2013;18.75
20-10-2013;28
21-10-2013;33
22-10-2013;29
23-10-2013;51
24-10-2013;29
25-10-2013;18
26-10-2013;27
27-10-2013;28.75
28-10-2013;48
29-10-2013;39
30-10-2013;32.75
31-10-2013;31
01-11-2013;15
02-11-2013;34
03-11-2013;38
04-11-2013;38
05-11-2013;22
06-11-2013;19
07-11-2013;25
08-11-2013;68
09-11-2013;35
10-11-2013;23
11-11-2013;37
12-11-2013;47
13-11-2013;82
14-11-2013;31
15-11-2013;24
16-11-2013;20.75
17-11-2013;28
18-11-2013;24
19-11-2013;19
20-11-2013;15
21-11-2013;21
22-11-2013;18
23-11-2013;20
24-11-2013;34
25-11-2013;37.5
26-11-2013;20
27-11-2013;20
28-11-2013;19.25
29-11-2013;17
30-11-2013;14
01-12-2013;12.5
02-12-2013;22
03-12-2013;19
04-12-2013;19.5
05-12-2013;19
06-12-2013;14
07-12-2013;14
08-12-2013;11
09-12-2013;14
10-12-2013;12
11-12-2013;13
12-12-2013;13.25
13-12-2013;13
14-12-2013;9
15-12-2013;6
16-12-2013;7
17-12-2013;8
18-12-2013;10
19-12-2013;12
20-12-2013;8
21-12-2013;11
22-12-2013;9
23-12-2013;10
24-12-2013;11
25-12-2013;13
26-12-2013;10
27-12-2013;14
28-12-2013;14.25
29-12-2013;16
30-12-2013;11
31-12-2013;31
01-01-2014;19
02-01-2014;22
03-01-2014;16
04-01-2014;14
05-01-2014;8
06-01-2014;13
07-01-2014;12.5
08-01-2014;16
09-01-2014;14
10-01-2014;13
11-01-2014;9
12-01-2014;7
13-01-2014;6
14-01-2014;8
15-01-2014;9
16-01-2014;6
17-01-2014;13
18-01-2014;8
19-01-2014;5
20-01-2014;11
21-01-2014;14
22-01-2014;23.75
23-01-2014;30.75
24-01-2014;19
25-01-2014;12
26-01-2014;10
27-01-2014;10.25
28-01-2014;13
29-01-2014;20
30-01-2014;10.5
31-01-2014;14
01-02-2014;17
02-02-2014;14
03-02-2014;16
04-02-2014;26
05-02-2014;17
06-02-2014;16
07-02-2014;16
08-02-2014;15
09-02-2014;13
10-02-2014;14
11-02-2014;14
12-02-2014;22.5
13-02-2014;20
14-02-2014;23
15-02-2014;16
